multiplier,model,share_C,share_D,share_P,dominant,interior_eq
1.05,conditional,0.4848,0.0,0.5152,P,False
1.1,conditional,0.4867,0.0,0.5133,P,False
1.2,conditional,0.4942,0.0,0.5058,P,False
1.3,conditional,0.5073,0.0,0.4927,C,False
1.4,conditional,0.5272,0.0,0.4728,C,False
1.6,conditional,0.5965,0.0,0.4035,C,False
1.8,conditional,0.7578,0.0,0.2422,C,False
2.0,conditional,0.0,1.0,0.0,D,False
1.05,unconditional,0.0,1.0,0.0,D,False
1.1,unconditional,0.0,1.0,0.0,D,False
1.2,unconditional,0.0,1.0,0.0,D,False
1.3,unconditional,0.0,1.0,0.0,D,False
1.4,unconditional,0.0,1.0,0.0,D,False
1.6,unconditional,0.0,1.0,0.0,D,False
1.8,unconditional,0.0,1.0,0.0,D,False
2.0,unconditional,0.0,1.0,0.0,D,False
