alpha,seed,tail_ci,greedy_ci,converged_price,greedy_price
0.05,900,0.8227,1.3373,76.455,86.7464
0.05,901,0.7363,0.8768,74.725,77.5357
0.05,902,0.7961,0.9025,75.921,78.05
0.05,903,0.8233,0.8477,76.4658,76.9536
0.05,904,0.8782,1.0589,77.5631,81.1786
0.05,905,0.64,0.6093,72.8003,72.1857
0.05,906,0.6986,0.5964,73.9727,71.9286
0.05,907,1.154,1.4509,83.0805,89.0179
0.05,908,0.4596,0.5171,69.193,70.3429
0.05,909,0.5231,0.5664,70.4612,71.3286
0.1,900,0.7527,0.8429,75.0537,76.8571
0.1,901,0.5908,0.6145,71.8164,72.2893
0.1,902,0.7431,1.057,74.8625,81.1393
0.1,903,0.862,0.7177,77.2408,74.3536
0.1,904,0.4498,0.4984,68.9958,69.9679
0.1,905,0.661,0.7375,73.2208,74.75
0.1,906,0.9617,0.9555,79.2337,79.1107
0.1,907,1.137,1.0568,82.74,81.1357
0.1,908,0.6292,0.3241,72.5838,66.4821
0.1,909,0.8743,1.0886,77.4864,81.7714
0.15,900,0.8093,0.85,76.1858,77.0
0.15,901,1.1196,1.3871,82.3915,87.7429
0.15,902,0.663,0.7177,73.2591,74.3536
0.15,903,0.8585,1.0093,77.1707,80.1857
0.15,904,0.688,0.5586,73.7598,71.1714
0.15,905,0.9132,0.8871,78.2631,77.7429
0.15,906,0.9083,1.4696,78.1665,89.3929
0.15,907,0.9865,1.5627,79.7296,91.2536
0.15,908,0.9008,0.9513,78.015,79.025
0.15,909,0.9955,0.9814,79.9105,79.6286
0.25,900,0.8478,1.0086,76.9563,80.1714
0.25,901,0.6629,0.5634,73.2586,71.2679
0.25,902,0.7957,0.4295,75.9135,68.5893
0.25,903,0.7216,0.702,74.4314,74.0393
0.25,904,0.7581,0.8582,75.1623,77.1643
0.25,905,0.4832,0.8511,69.663,77.0214
0.25,906,0.7696,0.9839,75.3926,79.6786
0.25,907,0.8302,0.5977,76.6043,71.9536
0.25,908,0.7633,0.6727,75.2653,73.4536
0.25,909,0.7387,0.9018,74.7733,78.0357
