cap_factor,seed,tail_ci,greedy_ci,converged_price
0.5,1100,4.369,4.2729,109.3449
0.5,1101,4.3411,4.4679,109.2056
0.5,1102,3.3586,3.0886,104.2928
0.5,1103,3.496,3.2271,104.9802
0.5,1104,4.4414,2.3064,109.7068
0.5,1105,3.6717,2.5764,105.8586
0.5,1106,3.3936,2.1243,104.4679
0.5,1107,4.8407,4.6179,111.7037
0.5,1108,2.9953,1.5793,102.4765
0.5,1109,4.5739,3.26,110.3693
0.75,1100,1.4761,1.3155,98.5103
0.75,1101,1.719,1.6209,104.1261
0.75,1102,1.2269,1.1316,92.7477
0.75,1103,1.4978,1.4316,99.0109
0.75,1104,1.4842,1.2599,98.6969
0.75,1105,1.4456,1.5965,97.8056
0.75,1106,1.6712,1.6774,103.0204
0.75,1107,1.6056,1.3901,101.5049
0.75,1108,1.7287,1.5222,104.35
0.75,1109,1.5052,1.3593,99.1825
1.0,1100,0.9938,1.0286,87.3306
1.0,1101,0.9525,1.2218,86.1946
1.0,1102,1.0514,1.193,88.9127
1.0,1103,1.1215,1.079,90.842
1.0,1104,1.1158,1.0636,90.6845
1.0,1105,1.2619,0.7418,94.7028
1.0,1106,1.1293,0.9691,91.0565
1.0,1107,1.0977,0.9751,90.1866
1.0,1108,1.0679,1.113,89.3676
1.0,1109,1.2378,1.0358,94.0396
1.25,1100,0.774,1.0588,81.2854
1.25,1101,0.8523,0.9295,83.4378
1.25,1102,0.235,0.0432,66.4613
1.25,1103,1.0011,1.2049,87.5295
1.25,1104,1.0233,1.038,88.1416
1.25,1105,1.0174,1.1513,87.9779
1.25,1106,0.7653,0.5903,81.0445
1.25,1107,0.8499,0.7666,83.3728
1.25,1108,0.8467,0.7302,83.2855
1.25,1109,1.1803,0.8666,92.4595
1.5,1100,0.7585,0.5495,75.1693
1.5,1101,0.4534,-0.1557,69.069
1.5,1102,0.7162,0.5645,74.3246
1.5,1103,0.5269,0.5741,70.5383
1.5,1104,1.0155,0.9695,80.3097
1.5,1105,1.0803,1.4082,81.6053
1.5,1106,0.7318,0.4284,74.636
1.5,1107,1.0544,1.1066,81.0873
1.5,1108,0.7336,0.8929,74.6722
1.5,1109,1.0452,1.1087,80.905
