seed,tail_ci,greedy_ci,converged_price,greedy_price,q_undervisited_pct,q_visit_mean,q_visit_min
1300,0.7219,1.1219,74.4381,82.4389,0.6396,93.75,0
1301,0.8535,0.8975,77.0701,77.95,0.6367,93.75,0
1302,0.2902,0.0517,65.8035,61.0333,0.6837,93.75,0
1303,0.3748,0.1406,67.4958,62.8111,0.6671,93.75,0
1304,0.6645,0.9461,73.2909,78.9222,0.6825,93.75,0
1305,0.1488,0.6628,62.9756,73.2556,0.6596,93.75,0
1306,0.5951,1.1914,71.9019,83.8278,0.6479,93.75,0
1307,0.5983,1.0444,71.9657,80.8889,0.6408,93.75,0
1308,0.0039,-0.1161,60.0788,57.6778,0.6517,93.75,0
1309,0.66,-0.3097,73.2009,53.8056,0.6729,93.75,0
