gamma,seed,converged_price,collusion_index,greedy_price,greedy_collusion_index,q_undervisited_pct,q_US,q_OPEC,q_RUS
0.5,1000.0,69.3556,0.4678,71.9179,0.5959,0.8912,17.1984,30.6497,22.7963
0.5,1001.0,70.4652,0.5233,68.0571,0.4029,0.8892,15.0996,33.3557,21.0795
0.5,1002.0,73.0846,0.6542,65.6,0.28,0.89,14.3782,30.45,22.089
0.5,1003.0,72.5196,0.626,71.6321,0.5816,0.8892,15.4232,29.7026,22.3568
0.5,1004.0,67.837,0.3919,84.3857,1.2193,0.8898,16.2803,29.6889,26.1953
0.5,1005.0,69.8176,0.4909,71.5179,0.5759,0.8852,13.2871,32.9726,23.9228
0.5,1006.0,70.1566,0.5078,75.025,0.7513,0.8908,14.9238,31.8823,23.04
0.5,1007.0,65.5423,0.2771,68.1393,0.407,0.8819,18.9349,36.5289,18.996
0.5,1008.0,66.1285,0.3064,75.4464,0.7723,0.8914,13.1697,35.6803,25.0215
0.5,1009.0,66.845,0.3423,63.8607,0.193,0.8894,13.7268,33.984,25.4475
0.5,1010.0,66.3143,0.3157,64.9071,0.2454,0.8848,12.6873,36.9771,24.024
0.5,1011.0,61.484,0.0742,61.4071,0.0704,0.8808,15.3296,33.7731,29.415
0.5,1012.0,68.3932,0.4197,63.4179,0.1709,0.8932,15.0473,30.9874,25.5735
0.5,1013.0,70.2308,0.5115,68.1714,0.4086,0.8911,16.2803,31.782,21.7087
0.5,1014.0,66.5486,0.3274,65.4643,0.2732,0.8939,17.7562,31.6757,24.0195
0.7,1200.0,69.7037,0.4852,68.5464,0.4273,0.892,15.9668,31.9663,22.365
0.7,1201.0,75.4827,0.7741,75.2893,0.7645,0.896,17.2506,30.1123,17.1547
0.7,1202.0,70.9849,0.5492,72.6179,0.6309,0.8974,17.5214,27.0943,24.4005
0.7,1203.0,68.3914,0.4196,63.2214,0.1611,0.8951,13.2152,32.8869,25.509
0.7,1204.0,68.9128,0.4456,74.6571,0.7329,0.8932,19.3542,32.2303,19.5045
0.7,1205.0,66.9723,0.3486,65.5571,0.2779,0.8904,11.1435,31.758,30.135
0.7,1206.0,74.8689,0.7434,68.5964,0.4298,0.8949,16.3393,26.7283,22.0635
0.7,1207.0,66.6349,0.3317,67.5536,0.3777,0.8918,17.6659,30.9746,24.726
0.7,1208.0,75.0764,0.7538,66.8107,0.3405,0.8981,15.9485,29.5989,19.3762
0.7,1209.0,74.2384,0.7119,72.9714,0.6486,0.8942,19.0204,24.0103,22.731
0.7,1210.0,69.3801,0.469,67.75,0.3875,0.8968,15.8202,34.0654,20.7368
0.7,1211.0,66.4959,0.3248,63.4536,0.1727,0.8953,16.3685,32.8089,24.327
0.7,1212.0,71.5614,0.5781,73.7714,0.6886,0.8918,19.648,27.8306,20.961
0.7,1213.0,73.08,0.654,74.8286,0.7414,0.8967,17.1461,30.144,19.6313
0.7,1214.0,65.4297,0.2715,70.1679,0.5084,0.894,15.1328,34.11,25.3275
0.85,1350.0,77.3263,0.8663,77.5643,0.8782,0.8973,19.5557,23.4694,19.6485
0.85,1351.0,72.6148,0.6307,75.2607,0.763,0.8942,14.9564,27.1509,25.278
0.85,1352.0,72.8996,0.645,74.9286,0.7464,0.8897,20.731,24.8691,21.501
0.85,1353.0,75.2244,0.7612,72.3714,0.6186,0.8971,19.1072,24.5743,21.1005
0.85,1354.0,77.0115,0.8506,83.575,1.1788,0.8984,17.4372,25.8626,19.6928
0.85,1355.0,72.9499,0.6475,71.55,0.5775,0.8895,16.7424,30.2314,20.0783
0.85,1356.0,80.293,1.0147,87.55,1.3775,0.8934,16.1866,25.1151,18.4065
0.85,1357.0,73.5084,0.6754,78.9071,0.9454,0.8883,18.0771,25.2257,23.2125
0.85,1358.0,82.3549,1.1177,85.375,1.2688,0.9004,19.3352,21.564,16.7527
0.85,1359.0,74.4014,0.7201,86.8821,1.3441,0.8956,16.7634,24.9609,23.8747
0.85,1360.0,73.3403,0.667,73.3607,0.668,0.9001,17.993,28.3629,20.307
0.85,1361.0,72.1887,0.6094,76.2357,0.8118,0.8897,14.7454,30.9206,22.152
0.85,1362.0,74.3507,0.7175,77.1607,0.858,0.8977,16.2939,25.7854,23.5725
0.85,1363.0,80.1392,1.007,82.7286,1.1364,0.8925,14.913,26.4026,18.5482
0.85,1364.0,77.3035,0.8652,81.5036,1.0752,0.8932,18.8276,24.9471,18.9217
0.95,1450.0,83.4514,1.1726,84.3393,1.217,0.8908,17.5906,20.2123,18.7793
0.95,1451.0,84.953,1.2476,91.3929,1.5696,0.9018,14.6884,24.2734,16.0852
0.95,1452.0,80.0844,1.0042,89.2643,1.4632,0.9007,18.2692,19.5111,22.1355
0.95,1453.0,76.6359,0.8318,80.4643,1.0232,0.8906,16.7512,25.7803,20.8388
0.95,1454.0,77.3006,0.865,82.0286,1.1014,0.8973,21.5066,22.1143,19.0785
0.95,1455.0,74.9422,0.7471,76.2321,0.8116,0.8942,21.2956,25.134,18.6292
0.95,1456.0,79.1612,0.9581,81.175,1.0588,0.8954,16.779,21.0111,23.058
0.95,1457.0,66.9403,0.347,64.1214,0.2061,0.8965,20.33,30.234,22.4992
0.95,1458.0,80.2613,1.0131,81.65,1.0825,0.8934,16.0665,28.1614,15.5107
0.95,1459.0,76.1667,0.8083,74.8286,0.7414,0.8897,20.1352,20.6014,23.097
0.95,1460.0,78.6339,0.9317,81.4464,1.0723,0.89,15.162,23.4797,22.725
0.95,1461.0,71.0277,0.5514,70.975,0.5488,0.8963,14.4556,30.252,24.2722
0.95,1462.0,80.4223,1.0211,89.0,1.45,0.8991,16.6189,23.8903,19.0725
0.95,1463.0,76.2008,0.81,78.3714,0.9186,0.8962,18.5019,26.5886,18.7095
0.95,1464.0,79.7509,0.9875,82.7,1.135,0.8962,14.9462,25.1571,20.1457
