episode_id,start_step,trough_step,recovery_step,cycle_length,duration_recovery,price_drop,pre_price,trough_price,post_price
0,52,82,122,70,40,4.8607,69.3161,64.4554,67.758
1,132,324,1169,1037,845,11.1214,68.8893,57.7679,67.5115
2,1180,1272,3100,1920,1828,7.7554,69.05,61.2946,65.7694
3,3123,3226,3262,139,36,10.7232,67.8357,57.1125,65.1546
4,3267,3406,3618,351,212,14.1304,67.7464,53.6161,63.2302
5,3626,3697,3735,109,38,7.4768,65.7304,58.2536,64.9816
6,3747,3915,3945,198,30,10.6518,65.9625,55.3107,64.0925
7,3969,4151,4192,223,41,6.2911,65.1804,58.8893,63.796
8,4249,4368,4412,163,44,8.2446,67.3107,59.0661,62.6323
9,4413,4447,4470,57,23,5.6732,65.5643,59.8911,65.0681
10,4497,4567,4616,119,49,6.5089,67.0661,60.5571,63.9836
11,4682,4740,4752,70,12,4.775,65.6643,60.8893,63.2452
12,4781,4949,4986,205,37,7.8464,64.3482,56.5018,63.3476
13,5031,5208,5219,188,11,4.9304,64.6179,59.6875,62.1607
14,5227,5282,5315,88,33,6.6482,63.7786,57.1304,65.4934
15,5337,5438,5524,187,86,9.6804,66.9393,57.2589,63.9009
16,5651,5814,5841,190,27,6.2893,65.7482,59.4589,64.4833
17,5898,6059,6084,186,25,4.9179,66.5732,61.6554,63.4316
18,6326,6522,6635,309,113,9.6036,68.1696,58.5661,66.2254
19,6650,6727,6771,121,44,7.0482,67.1589,60.1107,64.437
20,6775,6885,6909,134,24,5.4732,65.8571,60.3839,65.8938
21,6939,7003,7046,107,43,10.1036,67.1,56.9964,67.3852
22,7085,7242,7301,216,59,7.7679,68.6821,60.9143,64.2838
23,7320,7375,7410,90,35,9.3143,67.0071,57.6929,65.1802
24,7583,7696,7786,203,90,7.3714,68.6518,61.2804,67.0548
25,7793,7900,7934,141,34,5.4643,67.7054,62.2411,64.9304
26,7937,8049,8334,397,285,10.3196,66.3339,56.0143,63.2915
27,8419,8499,8579,160,80,8.9732,66.6661,57.6929,65.2001
28,8589,8682,8714,125,32,7.2054,66.5036,59.2982,64.8735
29,8735,8920,8949,214,29,7.9286,66.1768,58.2482,65.0108
30,9007,9091,9119,112,28,6.1536,67.2911,61.1375,67.0181
31,9141,9248,9293,152,45,10.1714,68.3054,58.1339,67.032
32,9334,9505,9547,213,42,6.7196,68.2,61.4804,65.3899
33,9617,9781,9894,277,113,8.4286,67.4089,58.9804,63.7784
34,9904,9954,10010,106,56,8.4125,67.5196,59.1071,65.3796
35,10208,10337,10351,143,14,4.9768,67.2,62.2232,66.9891
36,10385,10542,10634,249,92,10.9911,68.1125,57.1214,63.6621
37,10640,10695,10742,102,47,9.8875,66.25,56.3625,65.6665
38,10809,10840,10874,65,34,7.0786,67.6839,60.6054,64.5817
39,10883,10949,10978,95,29,5.5804,66.4804,60.9,64.958
40,11051,11249,11398,347,149,13.1946,68.4339,55.2393,65.0399
41,11399,11499,11529,130,30,5.1607,66.3179,61.1571,65.5354
42,11549,11613,11940,391,327,13.2679,67.5875,54.3196,66.9739
43,12109,12279,12394,285,115,13.4214,67.0554,53.6339,66.1289
44,12449,12501,12590,141,89,11.2196,67.4375,56.2179,64.6014
45,12857,13022,13074,217,52,4.7143,66.8821,62.1679,66.0341
46,13086,13268,13299,213,31,5.5536,66.7321,61.1786,66.0871
47,13452,13545,13573,121,28,6.8946,67.7125,60.8179,66.4999
48,13596,13789,13893,297,104,7.2161,67.825,60.6089,65.255
49,13901,14009,14024,123,15,5.2929,65.5518,60.2589,65.7585
50,14116,14287,14327,211,40,5.775,68.1125,62.3375,66.3189
51,14811,14869,14908,97,39,5.5607,67.7571,62.1964,66.0031
52,14994,15093,15115,121,22,5.6696,68.3,62.6304,66.902
53,16048,16220,16278,230,58,6.1732,68.6946,62.5214,66.2702
54,16312,16509,16543,231,34,5.6893,67.0732,61.3839,65.8891
55,16563,16661,16694,131,33,4.7714,66.5375,61.7661,66.3137
56,17059,17183,17215,156,32,5.7464,67.4964,61.75,66.6892
57,17753,17937,17966,213,29,5.0018,67.2821,62.2804,66.5155
58,17991,18091,18141,150,50,6.0804,67.6,61.5196,66.1639
59,18496,18609,18658,162,49,4.9732,66.8732,61.9,64.0739
