seed,converged_price,collusion_index,greedy_price,greedy_collusion_index,q_undervisited_pct,q_US,q_OPEC,q_RUS
100,57.6255,-0.1187,53.4589,-0.3271,0.8476,16.4245,43.311,22.639
101,55.9793,-0.201,56.5964,-0.1702,0.835,21.0348,42.0057,20.9802
102,54.5897,-0.2705,57.5411,-0.1229,0.8571,15.3045,50.5064,19.5993
103,58.2743,-0.0863,58.5679,-0.0716,0.8573,25.7045,32.7457,23.2755
104,53.7403,-0.313,48.2161,-0.5892,0.855,20.4906,47.0263,18.7428
105,58.4519,-0.0774,58.1536,-0.0923,0.8916,22.02,36.0761,23.452
106,55.9594,-0.202,55.7982,-0.2101,0.8904,20.4717,42.6094,20.9595
107,59.1882,-0.0406,60.0518,0.0026,0.849,22.4813,34.1423,24.1883
108,57.6806,-0.116,54.0768,-0.2962,0.8483,22.3835,37.2509,22.6851
109,55.3632,-0.2318,56.2589,-0.1871,0.8573,15.99,48.2813,20.3655
110,56.5532,-0.1723,56.2232,-0.1888,0.8711,25.0897,36.8036,21.5535
111,55.0937,-0.2453,52.0518,-0.3974,0.859,14.4106,50.3999,20.0959
112,55.1019,-0.2449,54.3232,-0.2838,0.8552,18.6733,46.1229,20.102
113,53.7126,-0.3144,55.0714,-0.2464,0.8776,14.6496,52.9191,18.7187
114,54.8217,-0.2589,55.3107,-0.2345,0.8634,16.3025,49.0513,19.8245
115,57.6942,-0.1153,47.9589,-0.6021,0.859,19.0873,40.5159,22.7026
116,57.4842,-0.1258,55.5589,-0.2221,0.8366,21.3351,38.6744,22.5063
117,53.5306,-0.3235,51.025,-0.4488,0.8436,18.3477,49.5883,18.5334
118,59.5361,-0.0232,43.1339,-0.8433,0.8371,19.2571,36.6681,24.5387
119,56.6545,-0.1673,53.5964,-0.3202,0.8676,19.19,42.4766,21.6789
120,53.2602,-0.337,49.4696,-0.5265,0.8517,14.6769,53.7976,18.2653
121,52.8936,-0.3553,54.1018,-0.2949,0.8876,15.9174,53.2899,17.8991
122,54.152,-0.2924,53.8232,-0.3088,0.8455,19.9874,46.7067,19.1538
123,55.4697,-0.2265,46.6554,-0.6672,0.8247,22.4522,41.5999,20.4782
124,54.0059,-0.2997,53.9768,-0.3012,0.9009,22.4656,44.5224,19.0061
125,54.3942,-0.2803,59.1518,-0.0424,0.8457,19.1897,47.022,19.3942
126,55.068,-0.2466,53.4429,-0.3279,0.8725,14.1672,50.6913,20.0735
127,58.0847,-0.0958,58.3518,-0.0824,0.8469,24.8988,33.9259,23.0906
128,55.1156,-0.2442,56.0482,-0.1976,0.8415,17.7682,46.9984,20.1178
129,51.9747,-0.4013,48.2643,-0.5868,0.8702,16.0139,55.0256,16.9858
130,54.621,-0.269,50.5357,-0.4732,0.8312,27.103,38.6359,19.6401
131,55.8976,-0.2051,57.1089,-0.1446,0.8646,16.0557,47.1463,20.9005
132,55.6987,-0.2151,51.2054,-0.4397,0.8443,21.5653,42.0149,20.7212
133,54.1748,-0.2913,53.8214,-0.3089,0.8811,20.3997,46.2507,19.1748
134,54.9211,-0.2539,57.4268,-0.1287,0.8212,16.9957,48.142,19.9412
135,57.61,-0.1195,57.0839,-0.1458,0.8382,22.0192,37.7604,22.6104
136,53.6623,-0.3169,52.9607,-0.352,0.855,17.3752,50.284,18.6786
137,59.0459,-0.0477,57.2054,-0.1397,0.8455,22.3241,34.583,24.047
138,55.4007,-0.23,56.425,-0.1788,0.8685,16.6725,47.5187,20.4081
139,54.0117,-0.2994,50.8357,-0.4582,0.8538,16.667,50.3033,19.018
140,58.7032,-0.0648,57.7982,-0.1101,0.8762,16.1795,41.4126,23.7047
141,60.3382,0.0169,60.7589,0.0379,0.8611,21.3859,32.9376,25.3383
142,56.1722,-0.1914,46.9661,-0.6517,0.8772,15.2372,47.414,21.1766
143,53.9448,-0.3028,54.7982,-0.2601,0.8536,17.2553,49.8381,18.9618
144,54.8154,-0.2592,55.5571,-0.2221,0.8634,15.5428,49.8256,19.8162
145,57.4128,-0.1294,49.1161,-0.5442,0.8485,19.9999,40.1319,22.4555
146,53.988,-0.3006,54.4964,-0.2752,0.8373,18.7562,48.2671,18.9887
147,54.7566,-0.2622,54.7054,-0.2647,0.8517,20.7824,44.7041,19.7569
148,54.8898,-0.2555,56.4786,-0.1761,0.8473,15.3214,49.8931,19.8958
149,58.8351,-0.0582,56.6536,-0.1673,0.8676,20.1642,37.1653,23.8354
