seed,converged_price,collusion_index,greedy_price,greedy_collusion_index,q_undervisited_pct,q_US,q_OPEC,q_RUS
200,74.6726,0.7336,70.1679,0.5084,0.7336,17.3761,25.0127,22.946
201,69.0677,0.4534,71.7179,0.5859,0.7507,13.119,32.5334,25.2948
202,70.3063,0.5153,68.775,0.4388,0.7315,14.7494,32.1363,22.812
203,75.3697,0.7685,91.5357,1.5768,0.7287,14.6316,28.4486,21.5542
204,76.1837,0.8092,73.0,0.65,0.7465,17.1516,29.1573,17.5311
205,71.9095,0.5955,65.0214,0.2511,0.7077,13.7292,29.4021,24.9625
206,67.3235,0.3662,68.7179,0.4359,0.7321,15.9659,34.6499,22.0622
207,70.0097,0.5005,76.3929,0.8196,0.7672,14.4471,28.5173,27.027
208,74.8592,0.743,84.0107,1.2005,0.7271,17.8491,27.2596,20.033
209,71.7972,0.5899,73.0857,0.6543,0.7322,18.1706,30.638,19.3986
210,74.3684,0.7184,70.825,0.5413,0.7442,16.8041,26.0823,22.7461
211,72.0875,0.6044,71.4464,0.5723,0.7221,18.1392,24.2429,25.5379
212,77.4947,0.8747,78.4857,0.9243,0.7378,15.3374,26.881,20.2958
213,77.2015,0.8601,82.2607,1.113,0.7546,19.7677,23.2669,19.7659
214,74.7576,0.7379,87.0429,1.3521,0.7229,17.8413,25.9567,21.467
215,75.1757,0.7588,69.9929,0.4996,0.7357,18.462,27.4244,18.9401
216,71.7644,0.5882,73.4536,0.6727,0.7554,16.0151,25.5939,26.63
217,70.3484,0.5174,68.8536,0.4427,0.7559,17.9073,30.6087,21.1371
218,66.662,0.3331,77.5786,0.8789,0.7403,17.3295,37.9241,18.0856
219,71.145,0.5573,70.875,0.5438,0.7184,17.4466,26.5966,24.8139
220,70.1037,0.5052,67.8071,0.3904,0.7625,13.6878,38.485,17.73
221,76.4709,0.8235,90.2321,1.5116,0.7542,15.4661,29.2027,18.8648
222,67.5886,0.3794,78.9107,0.9455,0.7475,15.0512,29.6231,27.7385
223,71.6833,0.5842,82.1821,1.1091,0.7179,17.0824,25.9721,25.2673
224,68.3988,0.4199,73.3679,0.6684,0.7386,20.0211,27.6041,23.9976
225,72.0292,0.6015,80.7857,1.0393,0.727,16.5377,23.3774,28.0594
226,71.5658,0.5783,78.5214,0.9261,0.7629,15.4401,28.9489,24.0487
227,64.528,0.2264,87.1071,1.3554,0.7504,17.5346,40.5587,17.3947
228,76.368,0.8184,92.1214,1.6061,0.7464,14.5921,29.2389,19.8025
229,69.8671,0.4934,68.4036,0.4202,0.7302,16.8076,30.0423,23.2892
230,73.7599,0.688,76.6643,0.8332,0.7591,21.1307,26.2011,18.9088
231,75.0056,0.7503,66.4393,0.322,0.7326,15.9056,23.905,25.1851
232,74.4594,0.723,79.2286,0.9614,0.7532,20.5048,28.3987,16.6397
233,72.8009,0.64,69.5714,0.4786,0.7336,13.0919,29.3029,24.8057
234,70.4823,0.5241,63.7179,0.1859,0.7287,14.4362,33.065,22.0192
235,75.9697,0.7985,84.1143,1.2057,0.7403,13.4436,27.3994,23.1909
236,77.8569,0.8928,78.8107,0.9405,0.7349,15.6402,30.55,15.9585
237,65.0782,0.2539,69.9107,0.4955,0.7409,14.2352,37.0106,23.683
238,78.4134,0.9207,80.9714,1.0486,0.7444,17.9631,21.8201,21.8068
239,74.6343,0.7317,72.0929,0.6046,0.7343,15.3432,24.5311,25.4937
240,71.2893,0.5645,64.9143,0.2457,0.7455,17.1813,27.4173,24.1137
241,69.1313,0.4566,71.3607,0.568,0.7495,12.9615,31.8226,26.085
242,65.1761,0.2588,60.5821,0.0291,0.7442,12.6438,36.7781,25.41
243,69.4549,0.4727,63.9857,0.1993,0.7085,16.1379,29.9613,24.4534
244,76.818,0.8409,82.975,1.1488,0.724,16.1823,26.5003,20.5004
245,74.4895,0.7245,68.1857,0.4093,0.7678,16.0341,29.3511,20.1288
246,70.7117,0.5356,65.7321,0.2866,0.7473,13.9855,27.8001,27.5192
247,79.0513,0.9526,70.0464,0.5023,0.7577,17.8676,21.9681,21.114
248,71.0835,0.5542,78.875,0.9438,0.75,14.1244,27.6229,27.1732
249,74.2462,0.7123,70.4536,0.5227,0.7176,14.7718,24.9093,26.0781
