t,P,Q,q_US,q_OPEC,q_RUS,profit_US,profit_OPEC,profit_RUS
0,108.0,32.0,9.5,12.0,10.5,598.5,1056.0,766.5
1,88.8,51.2,14.850000000000001,19.6,16.75,650.4300000000001,1348.48,901.15
2,77.28,62.720000000000006,17.745000000000005,24.520000000000003,20.455,572.8086000000002,1404.5056000000002,864.8374
3,70.368,69.632,19.198500000000006,27.796000000000003,22.6375,487.0275480000001,1400.028928,800.6430999999999
4,66.2208,73.7792,19.815450000000006,30.0532,23.91055,420.4997013600001,1389.08294656,746.50649944
5,63.73247999999998,76.26752000000002,19.955985000000005,31.669960000000003,24.641575000000003,373.8250898927997,1385.0058923007996,708.0135608559996
6,62.239487999999994,77.760512,19.833634500000006,32.876212,25.050665500000004,341.921703959136,1388.6743622594558,682.367302279264
7,61.343692799999985,78.65630720000001,19.574219850000006,33.8125396,25.26954775,319.9150360280619,1397.9352500102343,665.6932031209309
8,60.806215679999994,79.19378432,19.251167145000007,34.56565492,25.376962255000002,304.28809998559984,1410.493569785973,654.883361255749
9,60.48372940799999,79.51627059200001,18.906671998500006,35.189710996,25.4198875975,292.7457932305844,1424.6107379077857,647.7935371164649
10,60.29023764479999,79.70976235520001,18.564377739450006,35.7191128372,25.426271778550003,283.85374736402537,1439.131544672214,643.0364557008008
11,60.17414258687998,79.82585741312002,18.236963729985007,36.176225317960004,25.412668365175,276.73028799055106,1453.3488341788227,639.7421369380097
12,60.10448555212798,79.89551444787202,17.930681615674505,36.576017044852,25.388815787345504,270.8337214037624,1466.862347129654,637.373159119054
13,60.062691331276795,79.9373086687232,17.648062009319855,36.9288638955796,25.360382763823754,265.82731064161754,1479.4696754633376,635.599445252747
14,60.03761479876606,79.96238520123394,17.38952494151555,37.24224663914933,25.33061362056906,261.4969776040457,1491.0907251789006,634.2181464481849
15,60.02256887925964,79.97743112074036,17.1543339272406,37.521783455111006,25.301313738388764,257.7021629997924,1501.718162804845,633.103865754591
16,60.01354132755577,79.98645867244423,16.941157422442505,37.771861997525875,25.273439252475853,254.34676709846875,1511.385961056735,632.178217231275
17,60.008124796533465,79.99187520346653,16.74839581295383,37.99602993052886,25.247449459983844,251.36201450254967,1520.1499072334195,631.3913668894475
18,60.004874877920074,79.99512512207993,16.574368711311795,38.197239417129325,25.223516993638807,248.69632869374686,1528.0757835642153,630.7108864070291
19,60.00292492675203,79.99707507324797,16.417419327972624,38.3780029632084,25.201652782066937,246.30930966858105,1535.2323713758926,630.1150325400911
20,60.00175495605123,79.99824504394877,16.275969887850565,38.54049515956277,25.181779996535447,244.1681119296028,1541.6874432577083,629.5886928305719
21,60.001052973630735,79.99894702636927,16.14854839467063,38.68662113921161,25.16377749248703,242.2452299156937,1547.5055815603862,629.120934106325
22,60.00063178417844,79.99936821582156,16.03379885256664,38.81806432265353,25.147505040601402,240.5171126889349,1552.7470975450176,628.7035138108469
23,60.00037907050705,79.99962092949295,15.93048214572782,38.93632106880602,25.13281771495911,238.96327096186187,1557.4676023632112,628.3299699839326
24,60.00022744230422,79.99977255769578,15.837471838205744,39.042726868976125,25.119573850513905,237.56567968417409,1561.7179547268072,627.9950595166052
25,60.000136465382525,79.99986353461748,15.753747398615593,39.13847692630894,25.107639209692937,236.30836082039883,1565.5444180995828,627.6944065659125
26,60.00008187922951,79.99991812077049,15.678386305292289,39.2246428802163,25.096888935261898,235.177078313575,1568.988926892189,627.4242782954766
27,60.00004912753771,79.99995087246229,15.610555862686011,39.30218678011762,25.087208229658664,234.15910484846194,1572.089402024368,627.1814382142348
28,60.00002947652261,79.99997052347739,15.549505189171182,39.371973014859634,25.078492319446568,233.24303618290907,1574.8800811432382,626.9630472129102
29,60.00001768591356,79.99998231408644,15.494557617906326,39.43477866102593,25.070646035154176,232.4186383040016,1577.391843881124,626.7665942761331
30,60.000010611548134,79.99998938845187,15.44510362470705,39.491302563514694,25.063583200230116,231.67671826706632,1579.6525216044458,626.5898459691724
31,60.000006366928886,79.99999363307111,15.40059432339116,39.54217336831804,25.05722594136192,231.0090129053563,1581.6871864949273,626.4308080716237
32,60.00000382015733,79.99999617984267,15.360535527744933,39.587956668179125,25.051503983918618,230.4080915958364,1583.518417959388,626.287695298652
33,60.00000229209439,79.9999977079056,15.324482356986174,39.629161383376946,25.04635396754249,229.8672704799527,1585.1665461688565,626.1589065971698
34,60.00000137525663,79.99999862474337,15.292034350496996,39.6662454742487,25.041718799997682,229.38053628792656,1586.6498735212149,626.0430044387318
35,60.000000825153975,79.99999917484602,15.26283105297296,39.699621064349486,25.03754705752358,228.9424783887801,1587.9848753322797,625.9386970979209
36,60.00000049509238,79.99999950490762,15.236548030191061,39.72965904042994,25.03379243428662,228.54822799636474,1589.1863812870488,625.8448232512054
37,60.00000029705542,79.99999970294458,15.212893276681193,39.75669318589618,25.0304132403672,228.19340366929032,1590.2677392457886,625.7603384445999
38,60.00000017823325,79.99999982176675,15.191603978718618,39.78102389701211,25.027371946036023,227.87406238842823,1591.2409629707856,625.6843031116105
